antibody,length,ENC
H2AFZ_K562,3379.01321778,ENCFF001SZD
H3K4me3_A549,1873.77702181,ENCFF001SSW
H3K27me3_bronchial epithelial cell,192.360460282,ENCFF001XIQ
H3K4me3_fibroblast of lung,3826.43785987,ENCFF001TCR
H3K36me3_SK-N-SH,240.382521151,ENCFF001XJO
H3K4me3_fibroblast of skin of abdomen,863.649575672,ENCFF001WVO
H3K27me3_SK-N-SH,212.805894589,ENCFF001XJH
H3K4me3_fibroblast of upper leg skin,831.860307027,ENCFF001WUQ
H2AFZ_A549,4765.75588124,ENCFF001SSP
H3K79me2_HeLa-S3,3496.13646882,ENCFF001SWB
H3K4me3_GM12864,995.51135701,ENCFF001WXP
H3K4me3_bronchial epithelial cell,963.671711141,ENCFF001XIV
H3K4me3_fibroblast of mammary gland,846.425784501,ENCFF001XDW
H4K20me1_fibroblast of lung,52127.1461288,ENCFF001TCU
H3K4me1_DND-41,3285.82085927,ENCFF001STR
H4K20me1_endothelial cell of umbilical vein,26297.0297622,ENCFF001SYS
H3K9me1_K562,8569.25142049,ENCFF001SZM
H3K27me3_HepG2,9465.18695979,ENCFF001SWL
H3K4me3_K562,3059.21241082,ENCFF001SZJ
H3K27ac_fibroblast of lung,288.035899028,ENCFF001WUX
H3K9me3_A549,13706.6981861,ENCFF001SSY
H3K27ac_HepG2,3248.28003484,ENCFF001SWK
H3K9ac_DND-41,2663.03787802,ENCFF001STU
H3K4me3_fibroblast of pedal digit skin,1007.05430239,ENCFF001WVF
H3K4me3_cell of skeletal muscle,1164.03125472,ENCFF001XJA
H4K20me1_B cell,22249.9962003,ENCFF001STN
H3K4me3_endothelial cell of umbilical vein,2530.7133926,ENCFF001SYO
H3K79me2_HepG2,9678.27984057,ENCFF001SWP
H3K4me3_B cell,762.060322984,ENCFF001WXB
H4K20me1_keratinocyte,23650.6519794,ENCFF001TCG
H3K27ac_mammary epithelial cell,2502.97174543,ENCFF001SWW
H3K4me3_fibroblast of lung,865.335367995,ENCFF001XIC
H3K4me3_HepG2,831.474662238,ENCFF001XDB
H2AFZ_endothelial cell of umbilical vein,3462.82101795,ENCFF001SYH
H3K27me3_foreskin fibroblast,199.418665168,ENCFF001WVZ
H3K36me3_GM06990,321.707497521,ENCFF001WXK
H3K36me3_mammary epithelial cell,16990.6395537,ENCFF001SWY
H3K4me3_HL-60,900.973060179,ENCFF001XDL
H3K27me3_fibroblast of lung,14134.5179866,ENCFF001TCN
H3K79me2_A549,14434.0660424,ENCFF001STG
H4K20me1_myotube,2162.33016243,ENCFF001SYF
H2AFZ_osteoblast,3447.37222436,ENCFF001TDB
H3K4me3_fibroblast of the aortic adventitia,735.799332237,ENCFF001WVS
H3K4me2_myotube,2233.29833953,ENCFF001SYA
H3K4me3_K562,539.614563551,ENCFF001XGU
H3K4me3_WERI-Rb-1,793.162525053,ENCFF001XJT
H3K4me1_osteoblast,1998.45151311,ENCFF001TDE
H3K4me3_A549,755.973363384,ENCFF001WUM
H3K4me3_GM06990,850.490122772,ENCFF001WXL
H3K4me3_epithelial cell of proximal tubule,1039.45181239,ENCFF001XIJ
H2AFZ_astrocyte,4636.24113115,ENCFF001TAV
H4K20me1_DND-41,15029.0253971,ENCFF001SUA
H3K27me3_kidney epithelial cell,202.428928778,ENCFF001XEJ
H3K4me2_fibroblast of dermis,2118.18194224,ENCFF001TBO
H3K4me3_foreskin fibroblast,836.807085865,ENCFF001XHL
H3K27me3_HeLa-S3,24252.7442555,ENCFF001SVX
H3K4me3_GM12878,1184.61687966,ENCFF001WYJ
H3K4me3_astrocyte of the spinal cord,661.2519884,ENCFF001XBA
H3K36me3_CD14-positive monocyte,11298.0851741,ENCFF001TAQ
H3K4me3_Caco-2,880.656634183,ENCFF001WWU
H3K27me3_H7-hESC,268.995416193,ENCFF001WZT
H3K4me3_GM12878,3320.24801222,ENCFF001SUF
H3K27me3_astrocyte,12467.6189263,ENCFF001TBA
H3K4me3_MCF-7,706.712656651,ENCFF001XHB
H3K9me3_HeLa-S3,11288.2833708,ENCFF001SVV
H3K4me3_cardiac muscle cell,989.676345767,ENCFF001XBO
H3K27ac_skeletal muscle myoblast,2344.57887979,ENCFF001SXI
H3K4me3_cardiac fibroblast,351.606209941,ENCFF001XBH
H3K9ac_astrocyte,2702.7997388,ENCFF001TAX
H3K4me3_skeletal muscle myoblast,2208.74319385,ENCFF001SXN
H3K9ac_GM12878,3229.04228663,ENCFF001SUO
H4K20me1_astrocyte,14367.0133342,ENCFF001TBF
H3K4me3_fibroblast of lung,787.791013813,ENCFF001XED
H3K4me3_astrocyte of the cerebellum,1179.28781559,ENCFF001XAV
H3K4me3_choroid plexus epithelial cell,793.58239516,ENCFF001XBS
H3K9me3_myotube,13013.577589,ENCFF001SXU
H3K4me3_endothelial cell of umbilical vein,873.718058772,ENCFF001XFF
H4K20me1_skeletal muscle myoblast,22631.0826264,ENCFF001SXR
H3K4me3_cardiac mesoderm,384.832730521,ENCFF001WZA
H3K27me3_endothelial cell of umbilical vein,282.259937556,ENCFF001XEX
H3K36me3_keratinocyte,12935.7134679,ENCFF001TBZ
H3K36me3_cardiac mesoderm,248.479846217,ENCFF001XAJ
H3K4me3_keratinocyte,892.11366927,ENCFF001XHY
H3K4me3_epithelial cell of esophagus,899.889606691,ENCFF001XBZ
H3K4me1_CD14-positive monocyte,2403.14349556,ENCFF001TAJ
H3K36me3_cardiac mesoderm,260.092837027,ENCFF001XAD
H3K36me3_keratinocyte,319.217361825,ENCFF001XHW
H3K4me3_H1-hESC,3207.61641118,ENCFF001SVC
H3K4me3_kidney epithelial cell,996.292202543,ENCFF001XEQ
H4K20me1_fibroblast of dermis,19694.4895236,ENCFF001TBS
H3K27me3_keratinocyte,155.102164373,ENCFF001XHP
H3K4me3_cardiac mesoderm,707.500389994,ENCFF001WYV
H3K79me2_H1-hESC,9989.21258847,ENCFF001SVD
H3K4me3_Jurkat,789.42526167,ENCFF001XFO
H3K9ac_CD14-positive monocyte,1812.70932897,ENCFF001TAM
H3K4me3_foreskin fibroblast,879.529337601,ENCFF001WWI
H3K36me3_H1-hESC,14270.5676617,ENCFF001SUZ
H3K27me3_cardiac mesoderm,371.354847678,ENCFF001WZH
H3K27ac_A549,3582.03308758,ENCFF001STA
H3K4me3_fibroblast of the aortic adventitia,874.288790335,ENCFF001WVR
H3K4me3_K562,520.54215064,ENCFF001XGT
H3K4me3_WERI-Rb-1,800.303655064,ENCFF001XJU
H3K36me3_osteoblast,10812.3032961,ENCFF001TDD
H3K4me3_A549,841.871220939,ENCFF001WUL
H3K4me3_GM06990,930.241495514,ENCFF001WXM
H3K4me3_epithelial cell of proximal tubule,932.361527694,ENCFF001XIK
H3K27me3_mammary epithelial cell,15212.7573892,ENCFF001SWX
H3K4me3_HL-60,994.94240663,ENCFF001XDM
H3K36me3_fibroblast of lung,11950.1613849,ENCFF001TCO
H3K79me2_A549,12560.2355514,ENCFF001STF
H3K36me3_K562,253.856760749,ENCFF001XGS
H3K27ac_osteoblast,3771.33056163,ENCFF001TDC
H3K4me3_epithelial cell of esophagus,832.891712613,ENCFF001XCA
H3K27me3_GM06990,209.161488148,ENCFF001WXD
H3K9me3_mammary epithelial cell,9600.46867905,ENCFF001SWV
H3K4me3_fibroblast of lung,921.212982956,ENCFF001XIB
H3K4me1_keratinocyte,2019.91148213,ENCFF001TCA
H3K4me3_HepG2,831.03350408,ENCFF001XDC
H4K20me1_A549,27184.7188152,ENCFF001STH
H3K9me3_endothelial cell of umbilical vein,13491.5691856,ENCFF001SYI
H3K4me2_endothelial cell of umbilical vein,2539.14414209,ENCFF001SYN
H3K27me3_HeLa-S3,125.932579276,ENCFF001XCH
H3K9ac_HepG2,3481.86973463,ENCFF001SWQ
H3K9me1_keratinocyte,26662.9488061,ENCFF001TCF
H3K79me2_K562,9625.17254646,ENCFF001SZK
H3K9ac_A549,2575.07984738,ENCFF001SSX
H3K9me3_HepG2,10880.2404795,ENCFF001SWJ
H3K4me3_GM12866,484.397272097,ENCFF001WXX
H3K4me3_DND-41,3084.71356018,ENCFF001STT
H3K4me3_fibroblast of pedal digit skin,747.016562111,ENCFF001WVG
H3K4me2_DND-41,3372.11106316,ENCFF001STS
H3K9me1_endothelial cell of umbilical vein,64091.0637317,ENCFF001SYR
H3K27me3_HepG2,126.872468084,ENCFF001XCT
H3K9ac_K562,3942.31361803,ENCFF001SZL
H3K36me3_HepG2,12534.0560409,ENCFF001SWM
H3K4me3_fibroblast of skin of abdomen,896.606648732,ENCFF001WVN
H3K4me3_fibroblast of upper leg skin,765.999716286,ENCFF001WUP
H2AFZ_A549,6659.45967742,ENCFF001SSQ
H3K4me3_GM12864,384.500774584,ENCFF001WXQ
H3K9ac_HeLa-S3,4581.74565702,ENCFF001SWC
H3K4me3_bronchial epithelial cell,921.80837734,ENCFF001XIW
H3K4me3_fibroblast of mammary gland,939.495888627,ENCFF001XDV
H3K9ac_fibroblast of lung,4368.56177257,ENCFF001TCT
H3K27ac_K562,2783.17026656,ENCFF001SZE
H3K4me3_A549,1908.51011442,ENCFF001SSV
H4K20me1_HeLa-S3,2229.74701647,ENCFF001SWD
H3K79me2_fibroblast of lung,10559.783037,ENCFF001TCS
H3K27me3_mammary epithelial cell,132.823862595,ENCFF001XDQ
H3K79me2_DND-41,12546.3204199,ENCFF001STZ
H3K27me3_K562,142.560950142,ENCFF001XGO
H3K4me3_kidney epithelial cell,1099.59987247,ENCFF001XEP
H3K9ac_fibroblast of dermis,2356.86378431,ENCFF001TBR
H3K36me3_cardiac mesoderm,275.135740418,ENCFF001XAB
H3K9ac_H1-hESC,6704.36682078,ENCFF001SVE
H3K4me3_cardiac mesoderm,655.132375703,ENCFF001WYW
H3K4me3_Jurkat,935.031378757,ENCFF001XFN
H3K4me3_CD14-positive monocyte,2360.18606826,ENCFF001TAL
H3K4me1_myotube,2751.38621076,ENCFF001SXZ
H3K4me3_foreskin fibroblast,925.434692753,ENCFF001WWH
H3K27me3_cardiac mesoderm,279.514318067,ENCFF001WZI
H3K4me2_CD14-positive monocyte,1031.03342538,ENCFF001TAK
H3K27me3_Caco-2,151.099980977,ENCFF001WWO
H3K4me2_H1-hESC,2168.7775771,ENCFF001SVB
H3K4me3_endothelial cell of umbilical vein,773.701512411,ENCFF001XFG
H3K27me3_endothelial cell of umbilical vein,252.522844843,ENCFF001XEY
H3K4me3_keratinocyte,937.04338911,ENCFF001XHX
H3K36me3_cardiac mesoderm,233.675004367,ENCFF001XAL
H3K4me3_choroid plexus epithelial cell,962.936200397,ENCFF001XBR
H2AFZ_myotube,2171.6464122,ENCFF001SXT
H3K4me3_cardiac fibroblast,390.510171244,ENCFF001XBI
H3K9me3_astrocyte,18757.8779046,ENCFF001TAY
H3K79me2_skeletal muscle myoblast,11240.5957627,ENCFF001SXO
H3K79me2_GM12878,10181.7255671,ENCFF001SUN
H3K4me3_fibroblast of lung,739.716904886,ENCFF001XEE
H3K4me3_MCF-7,616.256672355,ENCFF001XHD
H3K4me3_astrocyte of the cerebellum,1198.67372269,ENCFF001XAW
