SRR,depth,bidirectionals
SRR639051,65,33729
SRR1105739,70,29907
SRR639051,25,30377
SRR1105739,45,28435
SRR639051,50,32452
SRR1105737,90,42351
SRR639051,30,31957
SRR1105739,65,29942
SRR1105739,10,26819
SRR1105737,85,41438
SRR1105739,50,28747
SRR639051,45,33599
SRR497904,40,22871
SRR639050,20,26251
SRR639050,60,32366
SRR1105737,70,31831
SRR1105737,45,29434
SRR639050,55,30853
SRR1105739,90,39765
SRR1105737,65,31856
SRR639050,75,42923
SRR639050,35,30344
SRR1105739,85,37861
SRR639050,40,32349
SRR1105737,50,29157
SRR1105737,10,26713
SRR497904,20,26292
SRR639050,5,26168
SRR1105737,60,31282
SRR1105739,5,26447
SRR639050,70,38413
SRR639050,30,29894
SRR1105739,80,32389
SRR639050,45,31652
SRR1105737,55,30313
SRR1105737,15,26854
SRR639050,25,28020
SRR639050,65,34060
SRR1105737,75,34001
SRR1105737,40,29413
SRR639050,50,30510
SRR1105739,95,33025
SRR639051,5,27189
SRR639051,35,31854
SRR1105739,60,29976
SRR1105739,15,26989
SRR1105737,80,32972
SRR639051,40,34049
SRR1105739,55,28482
SRR1105739,75,30362
SRR639051,60,35074
SRR639051,20,27818
SRR639051,55,32881
SRR1105739,40,27829
SRR1105737,95,33621
SRR1105737,5,26805
SRR497921,85,17579
SRR1105737,35,28384
SRR1105737,75,34007
SRR639050,65,33949
SRR639050,10,25674
SRR639050,50,30697
SRR1105737,40,29215
SRR1105739,5,26476
SRR639050,70,38372
SRR1105737,60,31501
SRR1105737,20,26603
SRR1105737,55,30429
SRR639050,45,31828
SRR639051,95,26009
SRR639050,5,26367
SRR497921,25,37900
SRR1105737,5,26860
SRR1105739,75,30472
SRR639051,60,35071
SRR1105739,35,28039
SRR639051,55,33239
SRR639050,85,40866
SRR1105739,40,27860
SRR639051,15,27030
SRR1105739,20,26741
SRR1105739,60,30124
SRR639051,40,33844
SRR1105739,55,28502
SRR639050,90,34148
SRR1105739,25,26460
SRR1105739,65,29846
SRR1105739,50,28790
SRR639050,95,26067
SRR639051,45,33476
SRR639051,65,34148
SRR1105739,70,29824
SRR1105739,30,26935
SRR639050,80,42570
SRR1105739,45,28482
SRR639051,50,32527
SRR639051,10,27061
SRR497904,15,27100
SRR639050,75,43115
SRR1105737,65,31590
SRR1105737,25,27256
SRR1105737,50,29250
SRR639050,40,32217
SRR1105737,30,28148
SRR1105737,70,31769
SRR639050,60,32201
SRR639050,15,26049
SRR639050,55,30752
SRR1105737,45,29044
SRR639050,10,25605
SRR1105739,95,32933
SRR639050,50,30877
SRR639050,25,28149
SRR1105737,35,28478
SRR1105737,75,33969
SRR639051,5,27078
SRR497904,30,24744
SRR639050,45,31870
SRR1105739,80,32017
SRR1105737,15,26879
SRR1105737,60,31182
SRR1105739,5,26348
SRR1105737,20,26354
SRR639050,30,29849
SRR639051,55,33263
SRR639050,85,40834
SRR1105737,95,33628
SRR639051,15,26997
SRR1105739,75,30307
SRR639051,20,27951
SRR1105739,35,27952
SRR1105737,5,26825
SRR1105739,15,26738
SRR1105737,80,33192
SRR639051,40,33926
SRR639050,90,34346
SRR639051,35,31731
SRR1105739,20,26769
SRR1105739,60,30078
SRR1105739,10,26838
SRR1105737,85,40791
SRR639050,95,26066
SRR639051,45,33533
SRR1105739,25,26339
SRR639051,30,31899
SRR1105739,65,29938
SRR639050,80,42499
SRR639051,50,32372
SRR1105737,90,42259
SRR639051,10,26957
SRR1105739,70,29689
SRR1105739,30,26880
SRR639051,25,30428
SRR639050,40,32298
SRR1105739,85,37755
SRR1105737,10,26810
SRR1105737,65,31752
SRR1105737,25,27426
SRR639050,35,30272
SRR639050,15,26288
SRR1105739,90,39735
SRR639050,55,30888
SRR639050,20,26266
SRR1105737,30,27983
SRR1105737,70,31820
SRR1105737,90,42433
SRR1105739,45,28498
SRR639050,80,42464
SRR639051,10,26873
SRR1105739,30,26719
SRR639051,25,30504
SRR1105739,10,26842
SRR639050,95,26068
SRR1105739,50,28861
SRR1105737,85,41245
SRR1105739,25,26431
SRR639051,30,31964
SRR639050,15,26058
SRR1105739,90,39731
SRR1105737,45,29000
SRR1105737,30,28057
SRR639050,20,26198
SRR639050,60,32325
SRR1105737,50,29246
SRR1105739,85,37783
SRR1105737,10,26819
SRR639050,75,43048
SRR639050,35,30230
SRR1105737,25,27380
SRR1105737,55,30498
SRR1105739,80,32250
SRR1105737,15,26780
SRR639050,70,38261
SRR639050,30,29865
SRR1105737,20,26550
SRR639050,5,26256
SRR639051,5,27087
SRR639050,10,25625
SRR1105739,95,32973
SRR1105737,40,29349
SRR1105737,35,28383
SRR639050,25,28161
SRR639050,65,34260
SRR1105739,15,27071
SRR639050,90,34203
SRR1105739,55,28460
SRR1105737,80,33258
SRR639051,35,31877
SRR1105739,20,26708
SRR1105737,95,33589
SRR1105739,40,27996
SRR639050,85,40900
SRR639051,15,27000
SRR639051,60,35032
SRR639051,20,28083
SRR1105739,35,27906
