dataset,motif,mds,N,depth,window
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7324561403508771,228,10,890
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8208092485549133,346,10,890
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8197674418604651,344,10,890
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7117117117117117,222,10,890
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7088607594936709,237,10,890
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8257142857142857,350,10,890
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7719298245614035,228,10,965
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8410404624277457,346,10,965
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8401162790697675,344,10,965
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7522522522522522,222,10,965
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7383966244725738,237,10,965
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8457142857142858,350,10,965
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4254385964912281,228,10,330
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6271676300578035,346,10,330
SRR1105739,HO_P53_HUMAN.H10MO.B,0.622093023255814,344,10,330
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4459459459459459,222,10,330
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4219409282700422,237,10,330
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6371428571428571,350,10,330
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6885964912280702,228,10,780
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7947976878612717,346,10,780
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7848837209302325,344,10,780
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6711711711711712,222,10,780
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6666666666666666,237,10,780
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8,350,10,780
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7368421052631579,228,10,910
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8236994219653179,346,10,910
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8197674418604651,344,10,910
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7207207207207207,222,10,910
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7172995780590717,237,10,910
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8314285714285714,350,10,910
SRR1105737,HO_P53_HUMAN.H10MO.B,0.25877192982456143,228,10,90
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3988439306358382,346,10,90
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4127906976744186,344,10,90
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2882882882882883,222,10,90
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2489451476793249,237,10,90
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4085714285714286,350,10,90
SRR1105737,HO_P53_HUMAN.H10MO.B,0.42105263157894735,228,10,305
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6184971098265896,346,10,305
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6162790697674418,344,10,305
SRR1105737,HO_P53_HUMAN.H10MO.B,0.44144144144144143,222,10,305
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41350210970464135,237,10,305
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6314285714285715,350,10,305
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7412280701754386,228,10,925
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8265895953757225,346,10,925
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8226744186046512,344,10,925
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7252252252252253,222,10,925
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7215189873417721,237,10,925
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8342857142857143,350,10,925
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3903508771929825,228,10,195
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5635838150289018,346,10,195
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5552325581395349,344,10,195
SRR1105737,HO_P53_HUMAN.H10MO.B,0.38738738738738737,222,10,195
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3586497890295359,237,10,195
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5771428571428572,350,10,195
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7631578947368421,228,10,950
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8410404624277457,346,10,950
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8343023255813954,344,10,950
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7522522522522522,222,10,950
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7341772151898734,237,10,950
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8457142857142858,350,10,950
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4166666666666667,228,10,285
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6184971098265896,346,10,285
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6104651162790697,344,10,285
SRR1105737,HO_P53_HUMAN.H10MO.B,0.44144144144144143,222,10,285
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4092827004219409,237,10,285
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6314285714285715,350,10,285
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7236842105263158,228,10,865
SRR1105739,HO_P53_HUMAN.H10MO.B,0.815028901734104,346,10,865
SRR1105739,HO_P53_HUMAN.H10MO.B,0.813953488372093,344,10,865
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7027027027027027,222,10,865
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6962025316455697,237,10,865
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8228571428571428,350,10,865
SRR1105737,HO_P53_HUMAN.H10MO.B,0.13157894736842105,228,10,25
SRR1105739,HO_P53_HUMAN.H10MO.B,0.16184971098265896,346,10,25
SRR1105739,HO_P53_HUMAN.H10MO.B,0.16569767441860464,344,10,25
SRR1105737,HO_P53_HUMAN.H10MO.B,0.12612612612612611,222,10,25
SRR1105737,HO_P53_HUMAN.H10MO.B,0.10970464135021098,237,10,25
SRR1105739,HO_P53_HUMAN.H10MO.B,0.17142857142857146,350,10,25
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4078947368421053,228,10,245
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6098265895953757,346,10,245
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6017441860465116,344,10,245
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4144144144144144,222,10,245
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3881856540084388,237,10,245
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6114285714285714,350,10,245
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7982456140350878,228,10,990
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8439306358381503,346,10,990
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8488372093023255,344,10,990
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7882882882882883,222,10,990
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7594936708860759,237,10,990
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8485714285714285,350,10,990
SRR1105737,HO_P53_HUMAN.H10MO.B,0.34649122807017546,228,10,155
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5173410404624278,346,10,155
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5087209302325582,344,10,155
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3603603603603603,222,10,155
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3164556962025317,237,10,155
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5314285714285715,350,10,155
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6885964912280702,228,10,775
SRR1105739,HO_P53_HUMAN.H10MO.B,0.791907514450867,346,10,775
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7819767441860465,344,10,775
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6711711711711712,222,10,775
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6666666666666666,237,10,775
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8,350,10,775
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7017543859649122,228,10,810
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8005780346820809,346,10,810
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7906976744186046,344,10,810
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6801801801801802,222,10,810
SRR1105737,HO_P53_HUMAN.H10MO.B,0.679324894514768,237,10,810
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8085714285714286,350,10,810
SRR1105737,HO_P53_HUMAN.H10MO.B,0.18421052631578946,228,10,50
SRR1105739,HO_P53_HUMAN.H10MO.B,0.28901734104046245,346,10,50
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3052325581395349,344,10,50
SRR1105737,HO_P53_HUMAN.H10MO.B,0.1981981981981982,222,10,50
SRR1105737,HO_P53_HUMAN.H10MO.B,0.18143459915611806,237,10,50
SRR1105739,HO_P53_HUMAN.H10MO.B,0.2714285714285714,350,10,50
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4035087719298245,228,10,230
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5953757225433526,346,10,230
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5930232558139535,344,10,230
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4099099099099099,222,10,230
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3755274261603376,237,10,230
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6114285714285714,350,10,230
SRR1105737,HO_P53_HUMAN.H10MO.B,0.30701754385964913,228,10,120
SRR1105739,HO_P53_HUMAN.H10MO.B,0.44508670520231214,346,10,120
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4418604651162791,344,10,120
SRR1105737,HO_P53_HUMAN.H10MO.B,0.32432432432432434,222,10,120
SRR1105737,HO_P53_HUMAN.H10MO.B,0.28270042194092826,237,10,120
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4428571428571429,350,10,120
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2982456140350877,228,10,115
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4393063583815029,346,10,115
SRR1105739,HO_P53_HUMAN.H10MO.B,0.43604651162790703,344,10,115
SRR1105737,HO_P53_HUMAN.H10MO.B,0.31981981981981983,222,10,115
SRR1105737,HO_P53_HUMAN.H10MO.B,0.27848101265822783,237,10,115
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4342857142857143,350,10,115
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7105263157894737,228,10,825
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8034682080924855,346,10,825
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7906976744186046,344,10,825
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6846846846846847,222,10,825
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6835443037974683,237,10,825
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8114285714285714,350,10,825
SRR1105737,HO_P53_HUMAN.H10MO.B,0.21929824561403508,228,10,65
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3381502890173411,346,10,65
SRR1105739,HO_P53_HUMAN.H10MO.B,0.34593023255813954,344,10,65
SRR1105737,HO_P53_HUMAN.H10MO.B,0.25225225225225223,222,10,65
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2278481012658228,237,10,65
SRR1105739,HO_P53_HUMAN.H10MO.B,0.34,350,10,65
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3947368421052632,228,10,205
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5693641618497111,346,10,205
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5581395348837209,344,10,205
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3963963963963964,222,10,205
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3586497890295359,237,10,205
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5971428571428572,350,10,205
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3508771929824561,228,10,160
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5231213872832371,346,10,160
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5203488372093024,344,10,160
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3648648648648649,222,10,160
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3164556962025317,237,10,160
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5428571428571428,350,10,160
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7105263157894737,228,10,850
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8063583815028902,346,10,850
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7994186046511628,344,10,850
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6891891891891891,222,10,850
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6835443037974683,237,10,850
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8142857142857143,350,10,850
SRR1105737,HO_P53_HUMAN.H10MO.B,0.06578947368421052,228,10,10
SRR1105739,HO_P53_HUMAN.H10MO.B,0.08092485549132948,346,10,10
SRR1105739,HO_P53_HUMAN.H10MO.B,0.06976744186046513,344,10,10
SRR1105737,HO_P53_HUMAN.H10MO.B,0.07207207207207207,222,10,10
SRR1105737,HO_P53_HUMAN.H10MO.B,0.05907172995780593,237,10,10
SRR1105739,HO_P53_HUMAN.H10MO.B,0.07142857142857142,350,10,10
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41228070175438597,228,10,270
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6127167630057804,346,10,270
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6075581395348837,344,10,270
SRR1105737,HO_P53_HUMAN.H10MO.B,0.427927927927928,222,10,270
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3966244725738397,237,10,270
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6228571428571429,350,10,270
SRR1105737,HO_P53_HUMAN.H10MO.B,0.15350877192982454,228,10,35
SRR1105739,HO_P53_HUMAN.H10MO.B,0.2283236994219653,346,10,35
SRR1105739,HO_P53_HUMAN.H10MO.B,0.2441860465116279,344,10,35
SRR1105737,HO_P53_HUMAN.H10MO.B,0.16666666666666666,222,10,35
SRR1105737,HO_P53_HUMAN.H10MO.B,0.14345991561181434,237,10,35
SRR1105739,HO_P53_HUMAN.H10MO.B,0.21428571428571427,350,10,35
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7324561403508771,228,10,875
SRR1105739,HO_P53_HUMAN.H10MO.B,0.815028901734104,346,10,875
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8168604651162791,344,10,875
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7117117117117117,222,10,875
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7046413502109705,237,10,875
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8228571428571428,350,10,875
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41228070175438597,228,10,255
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6127167630057804,346,10,255
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6017441860465116,344,10,255
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4189189189189189,222,10,255
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3966244725738397,237,10,255
SRR1105739,HO_P53_HUMAN.H10MO.B,0.62,350,10,255
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7938596491228069,228,10,980
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8410404624277457,346,10,980
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8430232558139535,344,10,980
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7747747747747747,222,10,980
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7552742616033755,237,10,980
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8457142857142858,350,10,980
SRR1105737,HO_P53_HUMAN.H10MO.B,0.33771929824561403,228,10,145
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4942196531791908,346,10,145
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4912790697674418,344,10,145
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3468468468468469,222,10,145
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3080168776371308,237,10,145
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5057142857142857,350,10,145
SRR1105737,HO_P53_HUMAN.H10MO.B,0.16666666666666666,228,10,40
SRR1105739,HO_P53_HUMAN.H10MO.B,0.24566473988439305,346,10,40
SRR1105739,HO_P53_HUMAN.H10MO.B,0.26744186046511625,344,10,40
SRR1105737,HO_P53_HUMAN.H10MO.B,0.17117117117117114,222,10,40
SRR1105737,HO_P53_HUMAN.H10MO.B,0.16455696202531644,237,10,40
SRR1105739,HO_P53_HUMAN.H10MO.B,0.24285714285714285,350,10,40
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7017543859649122,228,10,800
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8005780346820809,346,10,800
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7906976744186046,344,10,800
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6801801801801802,222,10,800
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6751054852320675,237,10,800
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8085714285714286,350,10,800
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4035087719298245,228,10,220
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5953757225433526,346,10,220
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5843023255813954,344,10,220
SRR1105737,HO_P53_HUMAN.H10MO.B,0.40540540540540543,222,10,220
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3755274261603376,237,10,220
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6085714285714285,350,10,220
SRR1105737,HO_P53_HUMAN.H10MO.B,0.30701754385964913,228,10,130
SRR1105739,HO_P53_HUMAN.H10MO.B,0.476878612716763,346,10,130
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4651162790697674,344,10,130
SRR1105737,HO_P53_HUMAN.H10MO.B,0.33783783783783783,222,10,130
SRR1105737,HO_P53_HUMAN.H10MO.B,0.28270042194092826,237,10,130
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4857142857142857,350,10,130
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2850877192982456,228,10,105
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4190751445086705,346,10,105
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4244186046511628,344,10,105
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3108108108108108,222,10,105
